donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
1.223905521.223906309	108	100	50	36	33	108	57	77	13	78	84	109	37	19	35
1.223959159.223960674	45	46	172	144	50	31	75	62	40	107	75	75	82	104	171
1.224390673.224391662	197	152	71	58	56	92	193	112	19	148	149	115	42	39	64
1.226315417.226316636	45	45	131	93	53	21	39	30	41	64	30	34	38	84	65
1.229269564.229270106	60	49	7	12	5	25	31	34	2	16	23	37	9	4	7
1.229272428.229273372	76	56	28	27	19	38	78	45	6	49	57	60	21	22	22
1.229991690.229992289	65	38	14	18	13	17	53	19	4	40	50	34	14	15	16
1.230293691.230294303	31	18	60	54	35	19	28	36	23	18	38	38	27	37	56
1.230999048.230999858	101	67	33	31	35	55	90	64	9	84	88	68	23	25	37
1.231108577.231109283	101	76	28	42	24	61	95	97	9	72	68	79	23	15	45
1.231799093.231799421	50	39	21	17	20	20	65	45	5	44	46	31	7	5	20
1.232005115.232005549	61	46	15	25	23	19	65	45	6	56	71	49	14	6	30
1.232769909.232770215	39	36	14	24	14	38	58	43	3	26	47	20	11	7	9
1.234438045.234438486	43	38	11	15	17	19	59	36	4	42	88	35	18	18	23
1.234679843.234680474	22	23	278	101	19	11	44	42	32	88	41	20	55	75	107
1.234689035.234689811	46	39	140	64	35	11	73	44	42	68	35	47	53	63	95
1.235061568.235062235	42	31	186	105	38	27	60	56	47	108	53	45	52	84	115
1.235176765.235177269	47	27	12	10	6	11	37	19	4	26	32	15	10	7	19
1.235994515.235994745	54	40	18	18	10	39	42	37	5	45	70	43	12	11	12
1.236144170.236144877	81	67	29	20	27	32	73	51	7	54	65	48	12	11	19
1.237033306.237034613	94	83	39	29	35	46	95	82	14	88	114	80	22	16	44
1.237827600.237828091	30	20	10	8	8	15	20	16	3	38	44	28	10	4	3
1.239188456.239189014	91	69	34	24	36	42	59	44	7	83	95	65	26	9	48
1.241714967.241715941	86	93	30	44	40	52	107	106	11	118	125	71	28	16	46
1.242302722.242303338	68	60	18	18	19	19	38	35	8	61	95	34	12	9	26
1.243264626.243265284	22	5	154	130	36	8	32	0	15	24	28	9	72	29	85
1.243615174.243615786	69	50	18	24	29	41	43	42	1	69	56	38	14	6	26
1.243894288.243895066	97	95	28	23	25	54	96	60	9	84	118	59	25	8	20
1.244387686.244388456	77	83	15	25	30	39	118	66	6	98	110	50	22	11	33
