donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
7.20152979.20153292	41	30	13	7	8	16	31	24	3	39	55	25	6	5	16
7.20240630.20241497	134	146	46	32	40	83	105	111	11	169	168	122	37	25	49
7.20456804.20457211	63	47	20	15	19	27	62	47	2	80	68	30	16	20	16
7.20506142.20506347	54	47	15	14	15	17	40	40	6	36	47	32	16	2	17
7.20547585.20548294	69	77	19	18	15	34	84	64	5	86	128	53	10	14	31
7.21392063.21393010	134	91	30	32	38	49	95	73	7	106	139	65	23	16	35
7.22484810.22485496	29	27	85	146	13	10	36	21	9	78	26	25	41	53	68
7.23255725.23256258	80	56	19	33	27	26	80	52	10	63	89	53	15	22	28
7.25002557.25003385	174	122	49	51	43	83	157	104	22	132	124	85	37	29	59
7.26748895.26749411	69	39	10	7	10	31	40	30	6	37	52	37	17	7	17
7.27737355.27738340	177	138	100	60	42	75	143	139	15	143	139	163	48	36	61
7.28194684.28195383	75	47	17	15	15	25	68	35	7	47	55	49	18	8	31
7.28839670.28840171	46	61	19	26	15	18	46	21	2	35	56	28	12	8	25
7.29124496.29124921	64	54	13	16	25	40	41	50	5	46	39	31	19	10	18
7.29149581.29150082	78	68	24	23	28	28	67	52	6	48	68	42	19	13	29
7.29175339.29175745	60	33	21	13	19	27	63	44	2	44	28	37	13	6	18
7.29242122.29242705	85	97	37	29	34	46	82	56	4	61	61	61	24	9	24
7.30224441.30225123	93	60	30	29	30	45	68	46	1	56	79	55	22	12	19
7.30508817.30509286	22	29	206	78	43	8	33	31	40	57	32	25	32	54	66
7.30560122.30560409	41	34	11	16	14	12	26	17	5	28	36	32	10	7	12
7.30951113.30951853	68	67	204	167	89	37	62	50	46	78	76	38	58	81	116
7.31727467.31728444	41	39	6	12	11	30	63	63	6	54	76	42	25	7	26
7.31851144.31852301	150	118	85	85	39	101	167	117	12	179	194	109	54	35	68
7.31929792.31930221	37	46	18	13	17	27	52	42	0	53	67	22	19	4	22
7.33894515.33894851	45	33	11	14	12	25	44	27	4	34	41	31	15	7	14
7.35797885.35798409	35	25	54	38	46	19	29	37	38	38	51	33	38	45	51
7.36204705.36205143	58	49	22	25	24	37	70	36	4	54	47	42	9	4	23
7.36303763.36304297	100	100	49	34	40	42	102	65	10	68	85	78	29	17	24
7.36782498.36783251	87	76	27	29	34	42	72	57	4	62	72	50	21	13	19
7.36814809.36815725	84	52	28	24	23	60	72	71	10	90	113	87	18	13	39
7.36824309.36825309	182	156	57	72	85	92	216	110	18	176	231	105	48	31	90
7.37375742.37376425	170	97	53	68	52	77	139	63	6	115	133	112	32	16	39
7.37464630.37465719	102	84	33	28	24	37	71	69	6	84	80	78	27	22	34
7.37713854.37714668	111	93	35	42	45	59	97	78	13	95	86	86	26	18	48
7.39109500.39110464	118	76	38	30	35	51	119	88	16	130	116	68	33	28	46
7.39547546.39548166	44	23	9	18	10	46	104	43	13	41	33	25	11	10	10
7.42917394.42918418	151	187	71	65	42	60	172	99	25	147	152	112	41	31	49
7.43204007.43204875	100	118	44	51	19	45	67	71	13	82	130	96	36	20	52
7.47225583.47226555	202	145	52	63	62	70	146	61	10	196	239	139	41	20	69
7.47553291.47553962	43	27	201	69	30	33	49	49	26	71	51	56	64	73	92
7.50267182.50268516	73	68	22	23	15	26	59	55	6	56	78	43	19	11	23
7.50427613.50427998	32	30	137	39	42	16	34	37	36	28	39	25	47	58	72
7.50477357.50478596	185	143	66	48	63	78	149	82	18	163	180	86	54	27	67
7.50483578.50485238	202	199	64	86	60	83	214	153	17	180	193	138	58	38	79
7.52341090.52342520	60	43	298	166	95	30	25	28	37	81	11	24	30	144	65
7.54891230.54892140	133	126	36	28	37	70	164	107	5	175	209	74	28	12	47
7.55507755.55508596	77	69	17	31	21	29	64	46	14	52	91	61	15	21	35
7.55600756.55603248	468	291	135	151	120	280	412	258	41	327	325	342	121	96	162
7.56114386.56115055	20	21	182	108	42	9	40	39	51	91	46	19	38	81	105
7.64029378.64030821	74	49	209	237	119	49	80	140	37	126	124	31	166	146	241
7.64034860.64036206	50	23	191	170	108	29	44	158	38	121	86	7	86	147	190
7.64342541.64343862	43	23	168	156	63	28	53	38	27	79	63	32	86	150	178
7.65392351.65393034	31	27	72	46	31	13	47	54	37	35	47	38	45	50	80
7.71098175.71099091	45	35	174	99	36	36	65	56	39	98	71	58	78	88	118
7.73647968.73649003	25	17	302	83	25	19	31	47	15	64	26	17	45	61	103
7.74000794.74002367	55	75	424	194	104	42	89	63	117	147	89	62	81	138	196
7.75198882.75199391	49	50	9	20	8	19	28	33	9	34	32	48	15	11	18
7.75640790.75641249	11	16	124	53	35	6	13	23	28	27	13	11	20	50	40
7.76115976.76116301	30	17	11	11	9	26	56	15	6	31	35	31	12	7	9
7.76757988.76758533	40	46	14	13	14	22	29	36	7	37	46	36	7	6	16
7.76818195.76818798	60	43	26	19	11	27	48	21	2	41	30	20	15	5	22
7.76945883.76946413	61	59	30	23	9	35	37	39	6	32	51	38	15	10	18
7.76965364.76966077	107	72	31	30	25	28	70	46	4	46	68	57	22	11	26
7.77039347.77039876	52	66	41	39	22	53	63	81	10	59	76	59	15	6	26
7.77535357.77536108	90	80	20	29	37	35	89	65	7	66	86	69	25	14	35
7.79964571.79965434	35	26	235	88	27	11	53	53	23	78	58	52	55	83	118
7.80247449.80248010	57	49	16	20	10	23	49	56	4	59	67	32	16	12	16
7.80571586.80571971	20	11	70	33	14	3	10	15	17	44	22	9	23	29	41
7.80740807.80741614	14	6	128	84	10	10	27	26	11	104	30	30	31	42	69
7.80769547.80771084	105	95	42	35	27	49	93	66	12	135	141	83	28	34	43
7.82244555.82246063	107	146	48	49	58	50	99	82	13	210	245	144	32	33	66
7.83877400.83878468	71	61	29	25	21	21	58	65	5	64	80	44	23	10	15
7.87228668.87229068	107	47	27	27	30	44	66	63	9	74	107	85	20	15	51
7.87502894.87504115	66	73	23	28	18	27	69	77	5	81	96	60	17	17	35
7.87898104.87898523	73	63	25	20	28	33	115	84	8	88	78	31	11	10	28
7.90203576.90203796	14	12	123	35	34	4	8	26	29	42	21	6	28	46	48
7.90929548.90930265	68	79	17	26	22	38	84	47	7	111	118	30	18	11	30
7.95935596.95936395	95	91	42	34	29	61	123	108	15	120	184	89	34	36	51
7.96167868.96168423	50	39	10	17	13	10	39	6	5	67	93	30	6	9	13
7.97766776.97767878	218	156	66	58	68	120	166	147	22	188	149	116	58	39	75
7.99290959.99291359	15	32	58	29	35	6	38	21	46	57	31	24	18	59	57
7.99601368.99601867	20	17	145	60	41	5	33	27	57	57	17	13	42	84	49
7.100143179.100144116	52	38	176	94	57	51	67	40	40	90	63	72	49	85	106
7.100398682.100400324	52	55	185	152	71	52	57	34	57	75	32	41	47	124	117
7.100880509.100883342	111	131	279	221	153	84	124	81	110	150	130	153	144	167	238
7.105128109.105128796	32	31	195	165	26	11	39	21	16	107	46	31	56	75	133
7.105348349.105348851	34	31	15	15	3	19	22	22	4	42	28	13	10	5	18
7.105954340.105954982	77	40	21	18	21	30	56	56	9	55	61	49	14	9	29
7.106007466.106008115	89	54	23	42	19	28	113	74	11	94	88	78	19	24	38
7.106192998.106193730	89	70	29	28	29	46	54	53	10	53	63	51	32	10	15
7.106535431.106536414	197	110	51	54	50	74	159	115	23	134	122	128	37	25	51
7.106597991.106598814	161	129	30	55	45	70	158	80	19	167	133	84	48	24	47
7.107775918.107777130	132	96	38	28	43	68	118	91	9	106	153	118	36	20	73
7.110723288.110724155	73	90	42	34	16	33	81	58	9	102	122	66	28	15	53
7.111799119.111799866	89	66	26	30	26	53	75	70	8	89	97	62	28	17	42
7.112149862.112150808	128	134	67	55	42	80	80	91	19	117	138	149	40	28	55
7.112711332.112711784	35	44	15	11	11	12	57	38	3	50	57	31	15	6	22
7.113691778.113692758	117	91	36	47	30	61	124	68	8	136	167	89	24	18	48
7.114705981.114706428	61	28	11	11	10	26	53	10	4	64	56	27	6	12	19
7.115994126.115995628	50	27	311	157	58	20	66	88	36	155	73	54	75	150	167
7.116651633.116652161	59	33	14	13	14	29	41	18	3	54	43	43	20	6	18
7.116774974.116775398	52	28	13	14	18	23	69	48	4	67	64	27	4	12	18
7.121159866.121160790	129	143	32	38	44	30	26	21	6	149	204	109	46	31	54
7.122184286.122185293	143	100	35	30	42	57	102	65	6	186	188	67	13	10	50
7.123410465.123410950	39	45	12	16	5	18	24	30	2	46	40	39	12	5	19
7.128762703.128763404	95	81	24	26	31	85	110	90	12	78	112	97	25	18	40
7.129205904.129206441	60	47	11	17	14	13	29	19	1	19	22	20	16	6	10
7.130425899.130426745	50	57	12	14	9	26	50	24	7	49	54	35	11	9	22
7.130644987.130645447	55	46	19	21	13	15	48	46	4	33	32	36	13	8	17
7.130904021.130904890	65	65	20	33	24	33	89	37	4	75	72	56	17	20	33
7.131574625.131575614	158	119	60	59	61	101	188	131	11	155	155	121	42	23	62
7.133373625.133374274	46	34	24	12	10	21	25	50	5	45	41	38	9	6	20
7.133977520.133978501	184	130	43	66	48	117	188	87	11	165	194	104	41	29	60
7.135020386.135020758	35	24	48	66	40	14	31	28	37	66	44	32	29	64	32
7.135527852.135528316	52	39	13	14	15	23	40	22	2	39	67	30	11	8	27
7.136362149.136362639	51	42	13	24	15	20	51	38	4	80	76	29	27	14	22
7.137676844.137678099	33	49	191	83	54	14	60	64	40	91	73	46	62	76	89
7.137881115.137881758	25	35	15	10	7	46	55	68	6	67	59	35	13	11	28
7.138526599.138527297	53	37	80	70	55	17	63	50	33	46	60	58	73	65	98
7.139572704.139574271	92	60	90	117	77	28	103	91	49	55	72	80	115	79	169
7.139909726.139910769	290	196	56	70	78	112	235	89	21	159	186	170	52	58	84
7.140206479.140207202	39	45	87	66	48	13	71	57	47	37	69	48	50	53	88
7.140681927.140682678	50	40	23	17	18	47	57	42	7	49	64	41	14	9	29
7.140753436.140754011	58	38	7	8	6	21	33	33	5	64	68	59	12	10	12
7.141263816.141264577	77	62	33	41	18	40	64	67	4	101	133	118	15	18	29
7.141660368.141661079	48	60	19	9	15	15	24	31	4	46	58	31	11	7	8
7.141804326.141805283	67	89	46	35	33	37	94	81	9	128	120	63	37	16	40
7.142241959.142242996	63	35	86	93	49	14	88	66	64	60	104	80	98	65	158
7.142376087.142376765	64	42	9	16	24	32	59	21	10	63	63	45	16	12	19
7.142823249.142823466	57	42	19	15	10	15	29	28	2	24	70	28	21	8	29
7.142902759.142903707	236	138	63	58	80	140	219	130	26	236	196	152	56	28	79
7.142919595.142920563	87	82	35	39	30	31	102	68	12	108	129	67	29	22	42
7.144539175.144540274	135	127	85	48	36	41	124	115	16	161	202	79	32	28	62
7.148320004.148320598	56	35	9	14	13	25	48	22	6	65	57	45	14	13	17
7.148470347.148471019	45	20	38	56	46	13	33	38	19	17	28	26	42	38	71
7.149793582.149794247	81	53	17	19	11	44	78	64	2	68	84	53	10	11	21
7.150132147.150133251	215	175	48	58	51	84	174	92	14	161	174	154	47	28	51
7.151855421.151856847	95	56	35	32	34	26	98	40	12	89	98	80	19	11	35
7.155826865.155827427	48	40	12	17	6	9	46	44	4	20	90	48	13	12	19
7.156573355.156574043	50	24	18	15	21	23	34	26	2	60	63	47	9	9	29
8.179327.180002	100	58	125	39	64	12	14	8	7	16	21	10	36	42	43
8.1872476.1873625	92	80	41	29	34	47	95	70	10	80	85	79	22	17	48
8.6547687.6548300	84	40	21	23	30	43	64	51	5	69	75	73	11	10	11
8.6796761.6797400	57	51	22	26	17	24	73	39	8	56	67	39	10	10	28
8.6810886.6811557	91	54	15	23	20	32	73	32	11	49	71	41	19	18	25
8.8118199.8118615	87	59	16	19	20	43	49	65	5	71	48	33	19	13	13
8.8334759.8335330	59	49	16	22	12	31	41	38	5	47	35	31	14	10	13
8.8932153.8932925	41	24	266	130	19	19	64	50	18	121	52	48	77	93	149
8.11715662.11717144	191	156	72	68	64	125	227	109	17	134	159	129	59	34	68
8.12622683.12624716	226	212	65	71	70	102	180	110	23	198	237	162	62	45	104
8.12791692.12792405	74	48	19	20	15	27	61	39	4	67	59	30	11	12	19
8.16940458.16940872	16	15	125	32	27	11	15	35	19	53	18	28	29	44	50
8.17465473.17466758	74	68	417	170	82	32	73	79	38	181	116	116	121	144	222
8.17471738.17472401	22	15	120	73	14	3	24	10	15	43	24	22	29	32	71
8.17760534.17761123	41	49	20	16	15	21	47	34	5	51	47	36	13	6	28
8.17773090.17774559	244	207	82	115	90	136	309	161	25	253	252	132	66	58	100
8.18703994.18705077	90	82	32	34	24	47	89	59	10	77	91	66	30	16	32
8.19246711.19247296	82	51	24	25	23	55	75	26	5	48	65	48	22	20	21
8.20869039.20870129	109	77	19	22	20	48	56	26	9	63	62	38	24	18	21
8.20960626.20961842	132	140	45	49	31	62	129	73	9	88	106	74	25	13	45
8.21039108.21040390	171	131	32	57	47	84	169	80	16	93	144	111	38	34	61
8.21529686.21530509	133	124	38	45	28	59	117	81	13	81	97	73	35	23	56
8.22084860.22085768	44	29	144	89	25	45	26	43	26	28	19	57	101	63	72
8.23161085.23162910	74	49	231	112	59	34	58	62	35	112	66	61	76	110	100
8.23258103.23258641	70	48	28	22	24	26	67	30	1	51	60	40	18	10	19
8.27209386.27209645	59	47	34	19	14	85	48	36	5	45	50	68	30	12	18
8.28740214.28740919	96	66	21	25	22	27	56	53	7	45	62	44	16	14	26
8.32432168.32433205	73	72	50	29	42	72	126	121	6	107	136	88	28	35	50
8.33418764.33419640	82	86	26	39	22	83	49	73	8	86	99	78	44	23	38
8.35755116.35755697	76	55	21	17	4	41	106	29	4	106	32	65	17	13	25
8.37336129.37337584	83	68	404	161	73	38	140	114	79	193	91	77	88	169	230
8.37431704.37433122	170	126	35	48	47	80	149	93	11	125	132	126	38	27	41
8.37446791.37447338	108	59	19	20	24	48	87	40	2	58	84	40	20	9	31
8.37489235.37489411	40	35	6	14	15	15	35	19	1	25	34	21	9	6	11
8.37649581.37650103	69	43	17	24	21	24	53	31	3	30	39	29	17	6	16
8.38299686.38300474	60	50	195	141	71	33	86	56	49	106	58	48	51	108	107
8.38814705.38815655	248	176	75	90	82	117	239	131	14	201	207	164	50	37	79
8.39706062.39706845	121	71	31	37	31	49	73	62	10	126	163	92	31	13	31
8.39797279.39797917	56	46	25	23	25	22	52	42	4	74	96	40	26	7	16
8.40841806.40842557	12	16	161	136	9	6	34	26	10	108	38	27	54	52	101
8.41402002.41403037	142	98	48	39	45	76	107	82	10	123	137	121	38	30	46
8.41573337.41574599	161	130	56	48	37	82	110	62	14	136	161	116	52	36	47
8.41862764.41863388	17	12	117	68	7	6	25	30	10	48	13	13	34	50	60
8.42142025.42142331	38	27	9	9	18	16	44	8	2	24	31	17	6	8	10
8.48438371.48439468	123	105	37	39	36	41	83	60	6	114	135	61	22	18	44
8.49608260.49608666	48	40	19	12	5	18	30	32	4	43	62	29	14	9	18
8.52783404.52784006	90	56	24	17	18	34	63	51	6	75	86	56	14	19	34
8.53372766.53373151	48	77	23	19	12	28	11	10	1	60	50	49	10	9	12
8.54089266.54090137	117	55	23	20	28	37	68	55	13	97	107	108	26	20	43
8.55294270.55295191	73	47	507	324	64	34	125	91	61	206	101	65	105	146	207
8.56902892.56904220	219	198	126	102	89	152	194	159	21	207	247	217	70	50	93
8.57313632.57314010	38	29	7	9	13	2	23	12	1	24	64	14	7	3	4
8.58774557.58775093	84	57	39	31	17	68	52	79	13	67	61	70	19	14	31
8.58843490.58844077	30	29	242	96	26	12	28	71	22	81	46	25	49	70	100
8.59085015.59086003	313	278	123	126	118	190	423	252	52	374	362	255	75	67	135
8.59308981.59310276	213	223	135	112	85	91	220	199	29	228	233	124	39	36	68
8.60293603.60294079	42	32	11	12	11	31	55	17	8	38	41	24	14	9	12
8.61828721.61829615	236	147	60	53	77	165	212	104	24	145	162	183	81	36	64
8.61911411.61912604	185	151	46	67	67	137	217	104	21	126	164	143	47	38	61
8.62647534.62648396	84	67	41	27	26	34	100	68	6	94	102	52	18	26	35
8.63510709.63511616	89	62	18	17	16	34	81	51	8	71	96	70	18	13	26
8.64112379.64113133	120	104	35	43	36	42	109	94	8	125	146	91	26	19	33
8.66086895.66087656	85	65	24	23	18	43	93	63	3	127	160	50	16	23	41
8.66860768.66861311	47	65	20	18	19	23	57	37	7	60	62	30	12	9	14
8.66893961.66894752	76	62	26	22	20	42	70	56	6	77	65	64	22	23	30
8.66921917.66922955	129	95	27	40	38	100	131	71	14	138	132	93	27	19	42
8.67015459.67016184	59	54	16	22	29	34	85	40	10	74	91	52	19	11	23
8.68251728.68252017	13	12	39	41	31	11	35	21	24	55	35	19	21	46	41
8.68304925.68305821	82	69	26	27	32	46	100	74	10	94	79	60	23	23	37
8.68492107.68492573	22	23	9	7	10	6	29	25	4	43	61	31	9	12	17
8.70906659.70907415	75	81	226	184	80	48	102	43	78	106	84	44	96	110	175
8.71158569.71159038	47	36	18	11	17	14	40	30	7	57	67	43	11	10	10
8.74080678.74081049	39	25	10	9	18	20	42	34	7	70	53	29	12	13	12
8.74963970.74965022	217	137	52	49	56	102	210	127	20	260	284	164	67	33	89
8.76034358.76034849	99	70	30	36	32	73	74	75	6	133	139	99	33	11	51
8.77220375.77221062	30	29	169	87	80	14	37	64	19	15	5	6	14	25	5
8.77367015.77367307	57	22	8	12	14	34	49	12	4	76	64	41	11	11	20
8.77493005.77493643	96	74	20	28	25	30	89	62	4	103	107	50	29	11	35
8.77493735.77494329	49	32	7	13	15	17	38	25	3	63	48	26	12	12	18
8.80967077.80967706	64	50	34	17	29	25	82	47	7	89	109	67	22	11	38
8.81926689.81927252	39	25	6	10	18	22	33	31	1	44	56	32	16	5	17
8.82042436.82043246	71	68	35	13	22	27	61	40	6	91	63	38	21	21	27
8.82066048.82067127	167	134	82	60	62	83	211	115	17	203	201	158	30	37	95
8.83860998.83861523	63	46	18	30	9	19	42	21	8	61	61	34	17	16	15
8.85919667.85920276	36	19	5	11	4	12	10	21	1	40	47	43	3	2	13
8.86083875.86084474	86	91	29	49	23	39	107	61	14	104	134	79	17	29	48
8.90733678.90734239	61	53	21	19	22	18	46	59	14	88	99	60	15	14	24
8.90737835.90738500	120	109	55	56	50	64	111	114	15	167	177	114	30	28	79
8.90788981.90789859	85	94	36	37	21	27	86	64	7	102	119	60	21	8	44
8.90867988.90868601	79	70	25	22	17	31	66	58	6	75	79	43	20	16	33
8.90986732.90987121	30	60	30	31	13	14	41	54	2	44	56	38	15	9	17
8.91017602.91018497	76	79	32	30	39	44	91	79	12	130	123	74	26	25	42
8.93438758.93439219	50	34	13	7	7	15	27	33	4	33	36	10	7	9	14
8.93536706.93538010	87	113	49	41	45	49	111	62	10	87	147	36	20	22	33
8.94457482.94457704	48	57	31	34	13	12	43	25	5	106	98	26	10	14	25
8.95071513.95071986	19	16	120	61	12	9	26	37	16	62	20	26	36	49	72
8.96127547.96128314	89	82	23	35	31	43	74	63	9	70	61	58	28	14	32
8.96560323.96560909	68	53	17	16	19	27	45	32	5	51	53	36	21	11	24
8.97349870.97352290	90	104	543	168	62	63	94	118	42	147	132	71	113	175	222
8.97873366.97874050	55	72	22	20	20	36	50	60	3	73	54	52	24	7	22
8.97991234.97992187	134	81	29	42	27	86	99	119	10	138	97	94	20	21	24
8.98610150.98611150	152	157	65	59	50	89	189	129	19	187	159	110	48	43	86
8.99259232.99259931	87	61	31	23	28	52	94	60	14	80	110	64	16	15	27
8.102063720.102064568	74	56	364	137	48	28	65	105	42	126	93	62	105	112	159
8.103990440.103991539	102	102	44	52	29	44	89	97	7	110	100	73	33	13	41
8.103991766.103992282	60	51	17	16	21	36	45	67	7	51	44	39	18	10	16
8.104090728.104091541	33	30	140	120	26	19	48	61	36	84	51	45	52	63	124
8.106646677.106647265	56	49	15	22	12	28	45	29	8	62	70	46	13	14	28
8.107441017.107441655	42	37	23	15	9	28	51	32	8	69	55	42	11	14	26
8.108343858.108344428	54	50	45	40	18	30	70	54	5	99	95	46	14	18	31
8.109199195.109199590	41	38	13	17	11	36	42	19	7	42	63	37	10	10	14
8.114704192.114704616	71	61	31	21	23	30	73	66	7	103	132	38	20	15	26
8.116068287.116068996	87	84	38	20	13	72	73	56	9	103	111	67	37	13	33
8.116234716.116235602	73	56	23	19	17	56	36	57	5	57	56	40	26	9	28
8.116601027.116601504	71	55	16	25	24	40	56	65	4	82	87	49	19	17	24
8.116858201.116859400	79	111	40	32	38	61	78	95	9	78	123	56	28	13	28
8.118184041.118184846	42	25	264	96	53	19	47	65	74	94	69	35	54	149	145
8.118893602.118894404	108	73	48	24	46	84	120	93	15	83	125	71	37	15	35
8.119125039.119125868	36	22	208	92	37	19	32	40	23	80	25	22	38	101	85
8.119294177.119294636	62	47	21	16	15	30	41	39	2	47	62	34	13	3	19
8.120128769.120129225	50	35	23	10	8	30	43	25	3	67	70	29	9	6	33
8.120460929.120461440	57	58	19	13	14	23	70	47	3	59	60	41	17	12	24
8.120507793.120508358	29	42	20	13	15	18	63	31	4	50	77	49	19	9	21
8.120613278.120614383	132	125	62	54	45	74	104	75	18	129	169	105	32	32	60
8.120660833.120660999	29	20	7	7	10	12	19	14	0	27	27	14	6	11	10
8.120964116.120964841	68	53	20	15	23	28	74	38	6	64	60	60	13	18	20
8.120967915.120969036	118	103	47	46	48	52	123	88	10	117	138	95	31	36	49
8.120974486.120974999	55	53	10	21	23	26	44	22	5	33	57	31	15	9	15
8.122796688.122797283	18	15	76	59	16	8	31	17	45	47	24	9	26	37	45
8.123725627.123726274	53	44	17	14	20	38	38	46	6	37	45	44	17	10	15
8.123922009.123922907	89	56	21	35	23	30	68	50	12	75	84	58	20	9	39
8.124462616.124463728	25	21	226	78	47	16	40	36	41	56	54	30	52	88	106
8.125273769.125274803	75	54	24	26	15	66	56	32	4	55	60	50	22	21	22
8.125773977.125774573	57	63	17	19	10	51	51	40	5	42	61	51	16	15	17
8.126345960.126346966	66	46	169	92	51	35	68	58	49	85	58	52	63	79	119
8.126706227.126707099	183	141	61	54	67	110	173	123	25	176	185	125	52	31	86
8.128118015.128118757	65	39	263	184	42	27	96	59	36	143	105	47	61	103	164
8.129053978.129055094	167	182	46	45	43	82	180	124	16	123	163	88	32	19	47
8.129135321.129136490	59	60	151	93	45	23	52	64	37	39	43	59	76	66	97
8.129163435.129163848	32	26	6	9	3	16	25	23	3	17	30	18	11	2	6
8.129262878.129264356	214	198	96	80	57	100	188	185	17	140	173	167	77	30	63
8.129670369.129670587	35	42	9	13	10	15	37	23	4	23	33	16	12	7	13
8.129960915.129961391	38	65	25	19	14	15	31	22	3	32	43	42	19	7	8
8.130501317.130501836	72	42	16	11	18	26	83	42	5	46	50	36	14	7	25
8.130688807.130689549	61	67	30	14	16	58	41	72	7	69	79	64	35	9	46
8.131020544.131021612	188	154	84	80	99	97	226	134	19	199	181	136	44	32	49
8.131288803.131290181	103	113	47	28	27	73	94	80	11	99	96	76	40	29	35
8.131321539.131322078	75	88	33	44	34	37	116	86	8	102	97	83	27	23	41
8.132839670.132840384	49	48	11	14	14	28	38	42	3	66	69	43	16	2	29
8.133907301.133908589	297	284	101	107	93	187	284	161	36	262	294	221	111	57	104
8.133932965.133933300	52	43	28	35	9	37	26	37	6	55	30	49	5	8	27
8.134009489.134010137	61	54	25	16	21	33	54	53	10	41	56	53	19	8	25
8.134045320.134046185	36	38	187	65	74	20	46	64	43	90	70	51	30	62	65
8.134088287.134089399	157	165	46	56	41	91	158	105	11	129	129	97	43	25	39
8.134387645.134388158	41	46	100	83	52	21	34	50	33	51	44	28	28	43	89
8.134666347.134667444	87	82	35	45	33	57	151	69	13	136	150	63	28	33	38
8.134765165.134765580	48	44	31	25	19	55	58	61	9	57	96	59	24	11	23
8.136935120.136935949	17	92	8	7	13	85	85	59	7	166	10	122	33	18	6
8.139204140.139204921	39	69	23	26	26	46	67	67	8	56	95	61	21	12	3
8.142036523.142037571	87	52	253	118	62	106	73	91	69	91	79	144	142	87	153
8.144375754.144376497	45	58	69	70	55	28	61	54	72	21	24	52	50	56	54
9.296756.298214	398	326	173	137	148	205	375	259	49	339	372	323	121	56	134
9.621132.621943	101	83	25	33	36	47	103	53	7	123	132	87	35	19	40
9.2024746.2026044	93	70	32	19	25	38	116	73	14	123	188	73	36	20	43
9.2228849.2229623	77	73	27	25	19	30	87	51	9	114	112	59	29	14	40
9.3397886.3398779	60	51	24	22	20	26	49	51	3	72	77	47	15	8	29
9.3507567.3507991	49	35	15	22	13	21	28	38	7	43	54	44	10	10	23
9.3575870.3576819	93	81	29	37	36	40	88	54	5	78	94	51	23	19	30
9.4938741.4939711	106	86	29	37	37	48	107	63	12	110	98	72	31	20	39
9.4971489.4971616	28	22	7	5	7	10	31	21	1	32	26	21	3	9	16
9.5493289.5494660	123	136	55	54	47	67	112	125	10	114	135	106	51	32	54
9.5892374.5892985	30	17	73	45	31	5	30	29	31	48	30	13	26	28	49
9.7297817.7298745	141	89	41	42	42	89	107	49	7	144	150	130	31	34	87
9.8261473.8262297	70	65	24	38	27	31	92	42	7	68	107	49	22	18	29
9.8649139.8649527	70	48	17	22	26	23	65	33	2	57	73	36	10	10	26
9.16289381.16290476	102	104	56	55	46	54	96	80	6	76	140	62	25	18	37
9.21104689.21105340	40	41	19	18	20	28	47	52	8	50	61	30	15	10	14
9.21381616.21382366	100	53	32	26	26	27	77	33	8	66	81	69	17	20	32
9.21384876.21385567	75	52	19	19	16	28	64	39	15	51	72	49	17	12	29
9.21481297.21482128	50	40	11	18	16	24	45	49	7	69	98	48	9	14	29
9.21817070.21817781	61	68	28	20	23	23	71	42	7	71	98	63	15	13	23
9.22029926.22030658	111	131	70	62	43	54	69	101	10	122	162	84	28	29	63
9.27093386.27094095	59	35	29	30	21	45	72	46	10	75	89	48	10	10	35
9.27280527.27281821	111	127	32	56	38	65	157	116	24	190	202	128	47	31	85
9.27352304.27353421	126	104	44	42	43	84	124	90	14	154	127	85	34	27	32
9.27369658.27370009	54	47	18	22	17	26	28	45	3	28	46	42	18	5	21
9.27491086.27491603	41	23	9	10	9	11	34	34	2	40	45	24	4	9	9
9.27599030.27599669	43	53	15	12	22	26	58	50	2	66	62	29	22	6	17
9.27634606.27635526	65	47	26	17	21	45	87	44	3	78	84	61	10	8	22
9.29290609.29291002	42	28	16	15	16	14	43	40	7	47	69	34	15	9	19
9.33143198.33143775	38	36	16	11	16	11	35	27	5	41	30	32	10	8	13
9.35035747.35036912	109	71	226	150	71	44	66	30	32	64	43	67	82	98	123
9.38025959.38026631	39	26	133	96	22	16	29	31	26	62	30	38	56	74	93
9.46210423.46210773	25	20	253	89	17	12	33	31	17	46	25	15	21	36	63
9.71161349.71162088	117	123	25	39	30	63	116	73	4	145	145	77	24	17	35
9.71458843.71459942	78	75	31	19	18	36	88	41	8	73	100	39	26	20	33
9.71566871.71567869	77	76	26	27	32	35	62	57	2	88	108	49	15	9	29
9.71593055.71593701	81	55	19	18	30	42	52	49	5	60	52	40	19	16	30
9.72069144.72069676	71	46	6	19	18	32	82	35	2	73	88	45	19	13	31
9.72437170.72437583	59	40	17	24	17	41	49	35	6	87	70	48	20	17	25
9.73108809.73110747	139	103	35	33	49	51	132	69	13	98	114	72	36	23	42
9.73178132.73179299	257	199	118	107	94	175	231	202	28	306	285	286	102	52	124
9.74296747.74297202	13	14	115	23	44	6	14	18	40	25	23	12	12	34	49
9.75834933.75835654	83	82	29	32	13	58	33	64	5	108	97	90	28	9	25
