baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000081237	3216.87608502852	-1.58829305865304	0.144163541262828	-11.0027655492547	3.7058899569983e-28	3.86508881306769e-25
ENSG00000225778	465.904881931068	2.57159637416825	0.239342309242982	10.582325703713	3.5991170838623e-26	3.60357998904629e-23
ENSG00000185088	5490.15224934404	0.793939831494137	0.0754692727502686	10.5102429031821	7.74936942644225e-26	7.46055638897215e-23
ENSG00000221316	65.3599115201299	-1.83030857447303	0.173414808553941	-10.4907468568022	9.52723029097011e-26	8.83244820049159e-23
ENSG00000132639	434.324712161454	-2.63576383479067	0.254340839850981	-10.3648993127068	3.58135437324427e-25	3.1812065510419e-22
ENSG00000141096	202.765141025048	2.99438776581241	0.283887967649769	10.3621550551635	3.68562941872938e-25	3.1812065510419e-22
ENSG00000157017	229.060218265556	-1.78001472280057	0.174387674807619	-10.1971325546167	2.04212718731259e-24	1.70388285418738e-21
ENSG00000147592	2003.93426089696	0.644554972180476	0.0633337476231208	10.1746003806732	2.57454572106358e-24	2.07882109496588e-21
ENSG00000112367	2913.18220468494	-1.08479537433907	0.107571782227575	-10.0765714100106	7.01306607407432e-24	5.48575177812982e-21
ENSG00000136630	1325.50209383042	-1.44883918250026	0.144157992960499	-10.0481807428295	9.35789962926952e-24	7.09810865515895e-21
ENSG00000107672	2582.23074689114	-1.07319924790829	0.10683760587294	-10.0277603163924	1.15097708562071e-23	8.47356100887411e-21
ENSG00000110245	82.0945807041255	5.73532603406356	0.502227815697577	10.0146911330835	1.3137161027547e-23	9.3953222194437e-21
ENSG00000164961	5963.38408544325	-1.03571675992412	0.103668802060516	-9.97291525907029	2.00262753706337e-23	1.3924380522287e-20
ENSG00000124092	517.763462945023	2.11580527683749	0.209647770442386	9.95904821371857	2.30256459067414e-23	1.55771606132877e-20
ENSG00000161944	11439.1511846651	-2.39501492753417	0.238646941471703	-9.93748475026906	2.85956192802658e-23	1.88362354264298e-20
ENSG00000102962	13582.8996775532	-3.38483331913431	0.354977259377036	-9.90624264963499	3.91077739077645e-23	2.51001715047501e-20
ENSG00000248727	46.3385562120938	-2.71130456373603	0.270264495258073	-9.8437551738656	7.29365074136174e-23	4.56418429267564e-20
ENSG00000240219	120.474930330996	1.62217758412319	0.165310491345055	9.77510208779096	1.44012070932663e-22	8.79211255491582e-20
ENSG00000270959	158.316713157223	-1.37031882445005	0.139759465144858	-9.77146127257814	1.49283165394467e-22	8.89692122140213e-20
ENSG00000165092	440.830466735728	3.27683180551799	0.36018796355728	9.73610571877824	2.11504798239741e-22	1.2312038615672e-19
ENSG00000198624	7495.02276265105	-0.872558997890381	0.0896234534789828	-9.72844142809867	2.28060366247816e-22	1.29740432444298e-19
ENSG00000179818	1605.30916999214	-0.651177968372274	0.0670927222969534	-9.70155365608159	2.96942017289624e-22	1.65172347439479e-19
ENSG00000102387	109.060299039705	2.63467113535618	0.266271724555004	9.68296262686808	3.56240212973935e-22	1.93848886325012e-19
ENSG00000113916	2024.64562301838	-1.76648286455693	0.182760306759981	-9.67791976142687	3.74253279971169e-22	1.99317741509752e-19
ENSG00000173391	5216.65944531669	-1.71937956593381	0.177779012545749	-9.64825123899937	5.00010980196043e-22	2.60745309276815e-19
ENSG00000186086	79.790996851191	2.53960117043662	0.262152768660731	9.56969485580142	1.07221661783816e-21	5.4772763594096e-19
ENSG00000164674	239.230502075678	-1.94037745218379	0.205582457602996	-9.55452259590462	1.24155008571799e-21	6.21544803912141e-19
ENSG00000182752	620.738808363307	1.98652796923295	0.206549921847214	9.55173204288398	1.27545784543097e-21	6.25999712332992e-19
ENSG00000047410	21218.9352156109	-0.863490571772741	0.0906630275482616	-9.51711027087824	1.78061567054334e-21	8.57126747103276e-19
ENSG00000099326	1182.42883248531	-0.500571393892554	0.0526832997508244	-9.49334942014015	2.23727543322848e-21	1.03706002535448e-18
ENSG00000137815	8224.54464072194	-0.803655217346715	0.084506164915633	-9.49471621403264	2.2081200157074e-21	1.03706002535448e-18
ENSG00000133863	541.359250707175	1.91084700800472	0.201065602058622	9.41156072619212	4.88823739663352e-21	2.2246812777297e-18
ENSG00000172667	3854.72425360027	0.984511117854177	0.104073799466247	9.40674198591109	5.11753671285834e-21	2.28744752606352e-18
ENSG00000135549	8298.37005055141	-0.961233124668628	0.10216451368577	-9.38875036627135	6.07163097445709e-21	2.62032749864889e-18
ENSG00000234975	220.812968794583	2.92814707371181	0.308052812993622	9.38921822965491	6.04472349269673e-21	2.62032749864889e-18
ENSG00000189056	410.928190988587	3.87325387103348	0.412376301612963	9.36692454640185	7.4676733880083e-21	3.16819207754637e-18
ENSG00000233597	55.5752428384316	3.51836200390596	0.369215934635354	9.31121654062765	1.26376443360686e-20	5.2722145896022e-18
ENSG00000147257	1620.89343934365	4.29116264569079	0.453560102293161	9.23619515396283	2.55418418509906e-20	1.04809482520024e-17
ENSG00000134516	19345.5273930661	-1.02336268878906	0.110976051089441	-9.21014221663254	3.25693126317697e-20	1.31490720078359e-17
ENSG00000177383	2160.92826115692	-1.45656801702335	0.160513410155348	-9.05094624467362	1.41734714758994e-19	5.63136769068631e-17
ENSG00000105889	234.086133358717	2.02552410315061	0.224193394083577	9.04739590303224	1.46418366430355e-19	5.72655957830971e-17
ENSG00000091513	652.619031125981	3.47564398477019	0.3784442851878	9.04098934710224	1.55260164031537e-19	5.97894948595908e-17
ENSG00000134240	139.595575267368	4.75898364916761	0.512829971829664	9.02096899038749	1.8643285831707e-19	7.07060738868877e-17
ENSG00000165511	149.390834712002	-1.34419434913696	0.149675297635424	-8.97318339726524	2.88065892864695e-19	1.07620557676062e-16
ENSG00000073146	143.526631690167	2.49422727974084	0.276416515333495	8.96555850682371	3.08712336693265e-19	1.13637919114252e-16
ENSG00000171811	171.167702864014	-1.87165505057346	0.20883873507875	-8.93128104668233	4.21103802469909e-19	1.52763033038033e-16
ENSG00000136689	14395.0838006303	-2.54208397426762	0.284141077620844	-8.879559175326	6.71258479162083e-19	2.40032442741516e-16
ENSG00000228223	1643.67942146274	-0.866893235941054	0.0976542548652736	-8.87241076506703	7.15791961698525e-19	2.52351952017969e-16
ENSG00000092964	13780.5996008877	-1.16680332327777	0.13189119456752	-8.85416351554133	8.43137091319174e-19	2.93118951844587e-16
ENSG00000267121	419.395546703202	-1.61063228689315	0.182248456339908	-8.83934613250383	9.62804057950618e-19	3.30136279103588e-16
ENSG00000083857	2661.08754257717	1.28296894205888	0.145008594202353	8.83696912285474	9.8350308294214e-19	3.3267656309628e-16
ENSG00000164885	1556.14684345783	-0.75931421434183	0.0860083457299196	-8.81652032274718	1.18071778076703e-18	3.94060623605062e-16
ENSG00000107551	15322.9187708265	-1.65422228445538	0.187231003277141	-8.81118745293855	1.23827102633658e-18	4.07831079739881e-16
ENSG00000196427	131.372981464813	2.29071937274845	0.257131108314036	8.80865896001415	1.26651868913819e-18	4.11717263737898e-16
ENSG00000073417	2566.70808033205	-0.992548587507013	0.112954152172382	-8.80343839937587	1.32687016298306e-18	4.25806244226011e-16
ENSG00000214107	50.9704608662525	3.19325612690183	0.355573833942692	8.79858993273925	1.38545948907024e-18	4.38980208492622e-16
ENSG00000231314	2231.95234361741	-2.1252745469717	0.244577646197485	-8.74189581331467	2.29230838239788e-18	7.17234638997517e-16
ENSG00000124134	30.360792369096	3.01699074593155	0.335903049735774	8.72449790567876	2.6736423963457e-18	8.26221516332458e-16
ENSG00000114631	448.250307060172	1.31502053268125	0.150390953883672	8.70476603492017	3.18230541922719e-18	9.71418133520435e-16
ENSG00000133104	7266.71876461142	0.671731927820918	0.0771896332658766	8.68848224436099	3.67313608245283e-18	1.1077381840949e-15
ENSG00000226409	17.3127712342226	3.79294422500894	0.406079169958379	8.59091485235408	8.62795569080448e-18	2.57102808210151e-15
ENSG00000206476	1689.966754488	-0.702554541962634	0.0817865150716794	-8.57451446220086	9.95056816471661e-18	2.93026672624731e-15
